Area,Room,Parking,Warehouse,Elevator,Address,PriceR,PriceM,PriceMC
63,1,TRUE,TRUE,TRUE,5,1850000000,1850,5920
60,1,TRUE,TRUE,TRUE,5,1850000000,1850,5920
79,2,TRUE,TRUE,TRUE,22,550000000,550,1760
95,2,TRUE,TRUE,TRUE,6,902500000,902.5,2888
123,2,TRUE,TRUE,TRUE,2,7000000000,7000,22400
70,2,TRUE,TRUE,FALSE,8,2050000000,2050,6560
87,2,TRUE,TRUE,TRUE,22,600000000,600,1920
54,2,TRUE,TRUE,FALSE,22,493000000,493,1577.6
71,1,TRUE,TRUE,TRUE,5,2370000000,2370,7584
68,2,TRUE,TRUE,TRUE,5,2450000000,2450,7840
64,1,TRUE,TRUE,TRUE,4,2100000000,2100,6720
54,1,FALSE,TRUE,TRUE,4,1690000000,1690,5408
136,3,TRUE,TRUE,TRUE,2,11000000000,11000,35200
95,2,TRUE,TRUE,TRUE,2,5000000000,5000,16000
63,1,FALSE,TRUE,FALSE,22,570000000,570,1824
150,3,TRUE,TRUE,TRUE,4,6700000000,6700,21440
64,2,FALSE,TRUE,FALSE,14,1450000000,1450,4640
140,3,TRUE,TRUE,TRUE,5,6400000000,6400,20480
42,1,FALSE,TRUE,FALSE,14,1390000000,1390,4448
93,2,TRUE,TRUE,TRUE,2,7000000000,7000,22400
87,2,TRUE,TRUE,TRUE,5,2500000000,2500,8000
65,1,TRUE,TRUE,TRUE,5,1880000000,1880,6016
99,2,TRUE,TRUE,TRUE,10,2277000000,2277,7286.4
160,3,TRUE,TRUE,TRUE,1,14945000000,14945,47824
77,2,TRUE,TRUE,TRUE,11,1771000000,1771,5667.2
123,2,TRUE,TRUE,TRUE,14,4059000000,4059,12988.8
110,2,TRUE,TRUE,TRUE,1,630000000,630,2016
100,2,TRUE,TRUE,TRUE,5,3200000000,3200,10240
49,1,TRUE,TRUE,TRUE,5,2200000000,2200,7040
96,2,TRUE,TRUE,TRUE,1,7872000000,7872,25190.4
67,2,TRUE,TRUE,FALSE,5,2350000000,2350,7520
68,2,TRUE,TRUE,TRUE,5,2500000000,2500,8000
110,2,TRUE,TRUE,TRUE,5,3750000000,3750,12000
129,2,TRUE,TRUE,TRUE,5,5250000000,5250,16800
109,2,TRUE,TRUE,TRUE,5,4830000000,4830,15456
58,1,TRUE,TRUE,TRUE,2,3400000000,3400,10880
55,1,TRUE,TRUE,TRUE,2,3850000000,3850,12320
60,2,TRUE,TRUE,TRUE,3,2650000000,2650,8480
130,3,TRUE,TRUE,FALSE,6,5000000000,5000,16000
88,2,TRUE,TRUE,TRUE,2,4750000000,4750,15200
51,1,TRUE,TRUE,TRUE,2,2980000000,2980,9536
113,3,TRUE,TRUE,FALSE,2,7000000000,7000,22400
110,2,TRUE,TRUE,TRUE,20,2035000000,2035,6512
60,1,TRUE,TRUE,TRUE,7,2460000000,2460,7872
98,2,TRUE,TRUE,TRUE,22,540000000,540,1728
62,2,FALSE,FALSE,TRUE,9,1450000000,1450,4640
100,3,TRUE,TRUE,TRUE,1,10000000000,10000,32000
75,2,FALSE,FALSE,FALSE,22,635000000,635,2032
61,1,TRUE,TRUE,FALSE,2,2030000000,2030,6496
61,1,TRUE,TRUE,FALSE,2,2030000000,2030,6496
72,2,TRUE,TRUE,TRUE,5,2350000000,2350,7520
100,2,TRUE,TRUE,TRUE,2,3000000000,3000,9600
122,3,TRUE,TRUE,TRUE,1,7200000000,7200,23040
200,3,TRUE,TRUE,TRUE,22,1750000000,1750,5600
101,2,TRUE,TRUE,TRUE,3,3300000000,3300,10560
67,2,TRUE,TRUE,TRUE,2,2800000000,2800,8960
72,2,TRUE,TRUE,FALSE,2,2200000000,2200,7040
63,1,TRUE,TRUE,FALSE,2,2200000000,2200,7040
75,2,TRUE,TRUE,FALSE,2,2200000000,2200,7040
109,2,TRUE,TRUE,TRUE,5,3500000000,3500,11200
122,2,TRUE,TRUE,TRUE,1,7000000000,7000,22400
70,1,TRUE,TRUE,TRUE,2,3100000000,3100,9920
60,1,TRUE,TRUE,TRUE,5,2450000000,2450,7840
53,1,TRUE,TRUE,FALSE,5,1920000000,1920,6144
90,1,FALSE,TRUE,FALSE,8,850000000,850,2720
72,2,TRUE,TRUE,TRUE,11,1650000000,1650,5280
